"callsign","Counter","time","Latitude","Longitude","Altitude","HorizontalSpeed","Heading","Satellites","Temperature","BatteryVoltage","BatteryCurrent","gyro_x","gyro_y","gyro_z","accel_z","infrared","Temp.","timestamp"
"$CST","226.0","23:08:14","52.22657","0.09027","37.0","0.0","0.0","12.0","26.4","0.0","0.001","0.8438","-0.2656","0.875","10.3","2.0","19.4","1571612886.367"
"$CST","227.0","23:08:28","52.22655","0.09025","34.0","0.0","0.0","12.0","26.4","0.0","0.001","0.2188","-0.0703","0.4844","10.31","2.0","19.4","1571612906.632"
"$CST","229.0","23:08:55","52.22654","0.09023","30.0","0.0","0.0","12.0","26.4","0.0","0.001","0.9141","0.1641","0.5156","10.32","1.0","19.4","1571612937.092"
"$CST","230.0","23:09:02.22677","0.09023","26.0","0.0","0.0","12.0","26.4","0.0","0.001","0.6641","-0.2578","0.6797","10.33","0.0","19.4","1571612947.229"
"$CST","231.0","23:09:23","52.22655","0.09023","24.0","0.0","0.0","11.0","26.4","0.0","0.001","0.5547","-0.0938","0.8203","10.33","0.0","19.4","1571612957.386"
"$CST","232.0","23:09:37","52.22656","0.09022","20.0","0.0","0.0","12.0","26.4","0.0","0.001","0.75","-0.3984","1.0469","10.35","0.0","19.4","1571612977.624"
"$CST","233.0","23:09:51","52.22658","0.09021","16.0","0.0","0.0","12.0","26.4","0.0","0.001","0.8359","0.0938","0.9922","10.31","0.0","19.4","1571612987.743"
"$CST","234.0","23:10:04","52.22656","0.09022","19.0","0.0","0.0","12.0","26.4","0.0","0.001","0.625","-0.3516","0.7344","10.32","0.0","19.4","1571612997.866"
"$CST","235.0","23:10:18","52.22655","0.09022","22.0","0.0","0.0","12.0","26.4","0.0","0.001","0.4766","-0.1875","0.5703","10.32","1.0","19.4","1571613018.156"
"$CST","236.0","23:10:32","52.22653","0.09022","25.0","0.0","0.0","12.0","26.4","0.0","0.001","0.3984","-0.1016","0.6172","10.32","2.0","19.4","1571613028.292"
"$CST","237.0","23:10:46","52.22653","0.09024","25.0","0.0","0.0","12.0","26.4","0.0","0.001","0.8125","-0.2812","0.5781","10.33","2.0","19.4","1571613038.474"
